Id;Числовые значения;Текстовые данные
54;0,3101014;Некоторый текст для строки с номером 54 и числовым значением 0,310101399886113
55;0,368919564;Некоторый текст для строки с номером 55 и числовым значением 0,368919563997731
56;0,522465905;Некоторый текст для строки с номером 56 и числовым значением 0,522465904679739
57;0,846821351;Некоторый текст для строки с номером 57 и числовым значением 0,846821351179213
58;0,579053626;Некоторый текст для строки с номером 58 и числовым значением 0,579053626370587
59;0,946366651;Некоторый текст для строки с номером 59 и числовым значением 0,94636665100999
60;0,300874289;Некоторый текст для строки с номером 60 и числовым значением 0,300874289007539
61;0,448764387;Некоторый текст для строки с номером 61 и числовым значением 0,448764387364202
62;0,968336152;Некоторый текст для строки с номером 62 и числовым значением 0,968336151533372
63;0,179982353;Некоторый текст для строки с номером 63 и числовым значением 0,179982353326094
64;0,268931491;Некоторый текст для строки с номером 64 и числовым значением 0,26893149117414
65;0,523908942;Некоторый текст для строки с номером 65 и числовым значением 0,523908942037843
66;0,037525383;Некоторый текст для строки с номером 66 и числовым значением 0,0375253825406864
67;0,686003244;Некоторый текст для строки с номером 67 и числовым значением 0,686003244236827
68;0,257465964;Некоторый текст для строки с номером 68 и числовым значением 0,257465964419909
69;0,704851692;Некоторый текст для строки с номером 69 и числовым значением 0,704851691992944
70;0,076530732;Некоторый текст для строки с номером 70 и числовым значением 0,076530731707898
71;0,650388814;Некоторый текст для строки с номером 71 и числовым значением 0,650388814052979
72;0,883943123;Некоторый текст для строки с номером 72 и числовым значением 0,883943123233694
73;0,25927534;Некоторый текст для строки с номером 73 и числовым значением 0,259275340273671
74;0,885657811;Некоторый текст для строки с номером 74 и числовым значением 0,885657811112215
75;0,981873673;Некоторый текст для строки с номером 75 и числовым значением 0,981873672774976
76;0,892426329;Некоторый текст для строки с номером 76 и числовым значением 0,892426328797585
77;0,989581363;Некоторый текст для строки с номером 77 и числовым значением 0,989581363065734
78;0,446611846;Некоторый текст для строки с номером 78 и числовым значением 0,446611846317253
79;0,640839732;Некоторый текст для строки с номером 79 и числовым значением 0,640839731994707
80;0,130645698;Некоторый текст для строки с номером 80 и числовым значением 0,130645698223508
81;0,581302924;Некоторый текст для строки с номером 81 и числовым значением 0,581302923530753
82;0,906175471;Некоторый текст для строки с номером 82 и числовым значением 0,906175470816127
83;0,692312874;Некоторый текст для строки с номером 83 и числовым значением 0,69231287361944
84;0,212592011;Некоторый текст для строки с номером 84 и числовым значением 0,212592011038945
85;0,384798902;Некоторый текст для строки с номером 85 и числовым значением 0,384798902221451
86;0,558331609;Некоторый текст для строки с номером 86 и числовым значением 0,558331609182176
87;0,256136332;Некоторый текст для строки с номером 87 и числовым значением 0,25613633249024
88;0,796459089;Некоторый текст для строки с номером 88 и числовым значением 0,796459089169887
89;0,322891593;Некоторый текст для строки с номером 89 и числовым значением 0,322891593067012
90;0,967110355;Некоторый текст для строки с номером 90 и числовым значением 0,967110354684429
91;0,795865206;Некоторый текст для строки с номером 91 и числовым значением 0,795865205902483
92;0,300453866;Некоторый текст для строки с номером 92 и числовым значением 0,30045386615645
93;0,653321294;Некоторый текст для строки с номером 93 и числовым значением 0,65332129373976
94;0,585169393;Некоторый текст для строки с номером 94 и числовым значением 0,585169392837738
95;0,26417233;Некоторый текст для строки с номером 95 и числовым значением 0,264172330457511
96;0,142287889;Некоторый текст для строки с номером 96 и числовым значением 0,142287889192284
97;0,172636102;Некоторый текст для строки с номером 97 и числовым значением 0,172636102142349
98;0,152487153;Некоторый текст для строки с номером 98 и числовым значением 0,152487153222821
99;0,238015761;Некоторый текст для строки с номером 99 и числовым значением 0,238015761349295
100;0,48808424;Некоторый текст для строки с номером 100 и числовым значением 0,488084240492446
101;0,164480263;Некоторый текст для строки с номером 101 и числовым значением 0,164480263495483
102;0,795819506;Некоторый текст для строки с номером 102 и числовым значением 0,795819506348653
103;0,04078147;Некоторый текст для строки с номером 103 и числовым значением 0,0407814696915629
104;0,089342916;Некоторый текст для строки с номером 104 и числовым значением 0,0893429160029519
105;0,080014421;Некоторый текст для строки с номером 105 и числовым значением 0,080014421252817
106;0,823298595;Некоторый текст для строки с номером 106 и числовым значением 0,823298595256242
107;0,470160605;Некоторый текст для строки с номером 107 и числовым значением 0,470160605114289
108;0,237379241;Некоторый текст для строки с номером 108 и числовым значением 0,237379240955624
109;0,25622811;Некоторый текст для строки с номером 109 и числовым значением 0,25622810957915
110;0,26587573;Некоторый текст для строки с номером 110 и числовым значением 0,265875729520991
111;0,469236621;Некоторый текст для строки с номером 111 и числовым значением 0,469236621434668
112;0,9831197;Некоторый текст для строки с номером 112 и числовым значением 0,983119699727091
113;0,332344624;Некоторый текст для строки с номером 113 и числовым значением 0,332344623586771
114;0,15805796;Некоторый текст для строки с номером 114 и числовым значением 0,158057960183578
115;0,755917895;Некоторый текст для строки с номером 115 и числовым значением 0,755917894625793
116;0,745248622;Некоторый текст для строки с номером 116 и числовым значением 0,745248621738005
117;0,966964188;Некоторый текст для строки с номером 117 и числовым значением 0,966964187928141
118;0,986116697;Некоторый текст для строки с номером 118 и числовым значением 0,986116697458047
119;0,849901265;Некоторый текст для строки с номером 119 и числовым значением 0,849901265225654
120;0,285134193;Некоторый текст для строки с номером 120 и числовым значением 0,285134192985625
121;0,485382142;Некоторый текст для строки с номером 121 и числовым значением 0,485382141528852
122;0,136503443;Некоторый текст для строки с номером 122 и числовым значением 0,136503443476256
